YoungAge,14
OldAge,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17,
50Free,,,,,00:26.20,00:25.55,00:25.20,00:24.56,,,,,0,0,0,0,
100Free,,,,,00:57.12,00:55.52,00:54.79,00:53.25,,,,,0,0,0,0,
200Free,,,,,02:05.43,02:01.70,02:00.02,01:56.47,,,,,0,0,0,0,
400Free,,,,,04:28.31,04:20.66,04:16.68,04:10.18,,,,,0,0,0,0,
800Free,,,,,09:17.14,09:03.92,08:59.99,08:44.55,,,,,0,0,0,0,
1500Free,,,,,17:44.86,17:22.37,17:11.96,16:48.31,,,,,0,0,0,0,
50Back,,,,,,,,,,,,,,,,,
100Back,,,,,01:04.95,01:03.14,01:02.13,01:00.11,,,,,0,0,0,0,
200Back,,,,,02:21.29,02:17.59,02:15.53,02:11.63,,,,,0,0,0,0,
50Breast,,,,,,,,,,,,,,,,,
100Breast,,,,,01:13.40,01:11.11,01:09.81,01:08.10,,,,,0,0,0,0,
200Breast,,,,,02:40.36,02:35.60,02:33.00,02:28.74,,,,,0,0,0,0,
50Fly,,,,,,,,,,,,,,,,,
100Fly,,,,,01:02.67,01:00.57,00:59.65,00:58.02,,,,,0,0,0,0,
200Fly,,,,,02:23.40,02:18.09,02:15.20,02:10.89,,,,,0,0,0,0,
100IM,,,,,,,,,,,,,,,,,
200IM,,,,,02:21.79,02:18.00,02:16.06,02:12.21,,,,,0,0,0,0,
400IM,,,,,05:04.71,04:56.04,04:52.66,04:44.63,,,,,0,0,0,0,
